Cust_Id,Calendar_Dt,Amt_LE
5960923,12/19/2019,385.7
5960923,12/29/2019,0.01
5970731,11/7/2019,0.1
5970731,11/8/2019,0.39
5970731,11/10/2019,0.2
5970731,11/11/2019,0.1
5970731,11/14/2019,0.1
5970731,11/15/2019,0.19
5970731,11/16/2019,0.1
5970731,11/18/2019,0.1
5970731,11/19/2019,0.19
5970731,11/20/2019,0.19
5970731,11/21/2019,0.19
5970731,11/22/2019,0.1
5970731,11/23/2019,0.49
5970731,11/25/2019,0.19
5970731,11/28/2019,0.29
5970731,11/29/2019,0.19
5970731,12/2/2019,0.29
5970731,12/4/2019,0.19
5970731,12/5/2019,0.1
5970731,12/7/2019,0.1
5970731,12/17/2019,0.29
5970731,12/18/2019,0.1
5970731,12/20/2019,0.1
5970731,12/21/2019,0.1
5970731,12/22/2019,0.1
5970731,12/23/2019,0.1
5970731,12/24/2019,0.19
5970731,12/25/2019,0.1
5970731,12/29/2019,0.19
5996606,11/1/2019,0.57
5996606,11/2/2019,1.14
5996606,11/4/2019,0.57
5996606,11/5/2019,0.57
5996606,11/7/2019,0.57
5996606,11/8/2019,0.57
5996606,11/10/2019,0.57
5996606,11/12/2019,0.57
5996606,11/13/2019,1.14
5996606,11/14/2019,1.14
5996606,11/16/2019,0.57
5996606,11/17/2019,1.14
5996606,11/18/2019,0.57
5996606,11/19/2019,0.57
5996606,11/20/2019,0.57
5996606,11/21/2019,1.14
5996606,11/22/2019,0.57
5996606,11/24/2019,1.14
5996606,11/25/2019,0.57
5996606,11/26/2019,1.14
5996606,11/27/2019,0.57
5996606,11/28/2019,0.57
5996606,11/29/2019,1.14
5996606,12/1/2019,1.14
5996606,12/2/2019,0.57
5996606,12/3/2019,0.57
5996606,12/4/2019,0.57
5996606,12/5/2019,0.57
5996606,12/6/2019,1.14
5996606,12/7/2019,0.57
5996606,12/9/2019,1.71
5996606,12/10/2019,0.57
5996606,12/11/2019,0.57
5996606,12/12/2019,0.57
5996606,12/13/2019,6.04
5996606,12/14/2019,11.49
5996606,12/15/2019,3.46
5996606,12/16/2019,20.64
5996606,12/17/2019,5.22
5996606,12/18/2019,9.25
5996606,12/19/2019,6.93
5996606,12/20/2019,2.93
5996606,12/21/2019,6.92
5996606,12/22/2019,2.9
5996606,12/23/2019,14.38
5996606,12/24/2019,2.92
5996606,12/25/2019,1.72
5996606,12/26/2019,0.57
5996606,12/27/2019,1.71
5996606,12/28/2019,0.57
5996606,12/30/2019,0.57
5996606,12/31/2019,0
6003883,11/8/2019,3.24
6003883,11/11/2019,68.35
6003883,11/12/2019,3.53
6003883,11/13/2019,6.28
6003883,11/14/2019,7.78
6003883,12/2/2019,8.14
6003883,12/15/2019,3.25
6003883,12/21/2019,4.94
6003883,12/28/2019,15.01
6003883,12/29/2019,48.69
6048571,11/11/2019,3.2
6048571,11/12/2019,0.64
6048571,11/17/2019,2.25
6048571,11/24/2019,8.36
6048571,11/25/2019,0.32
6048571,11/26/2019,12.58
6048571,11/27/2019,14.01
6048571,11/28/2019,5.13
6048571,11/30/2019,5.79
6048571,12/1/2019,1.62
6048571,12/3/2019,1.28
6048571,12/6/2019,4.36
6048571,12/8/2019,2.95
6048571,12/9/2019,0.64
6048571,12/11/2019,2.57
6048571,12/16/2019,2.26
6048571,12/21/2019,0.98
6048571,12/28/2019,1.6
6048571,12/29/2019,15.88
6048571,12/30/2019,2.26
6050578,11/18/2019,10.24
6050578,11/20/2019,6.09
6050578,11/23/2019,1.93
6050578,11/26/2019,7.38
6050578,12/10/2019,36.53
6050578,12/28/2019,1.73
6058243,11/2/2019,18.57
6058243,11/3/2019,8.45
